Started in hybrid online/batch training mode.
Sequences will be shuffled within and across mini-batches during training.
The trained network will be written to 'savedNetwork.jsn'.
WARNING: The output file 'savedNetwork.jsn' already exists. It will be overwritten!
Validation error will be calculated every 1 epochs.
Test error will be calculated every 10 epochs.
Training will be stopped after 200 epochs or if there is no new lowest validation error within 20 epochs.
Autosave on BEST VALIDATION ERROR enabled.
WARNING: CUDA option not set. Computations will be performed on the CPU!
Uniform distribution with range [-0.1, 0.1]. Random seed: 3864690467

Reading network from 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\network.jsn'... done.

Loading training set 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\trainingNCFile.nc' ...
using cache file: C:\Users\MOHAME~1\AppData\Local\Temp\6fee-5c59-3572-5e43
... done.
Loaded fraction:  100%
Sequences:        3566
Sequence lengths: 2..551
Total timesteps:  231600

Loading validation set 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\validationNCFile.nc' ...
using cache file: C:\Users\MOHAME~1\AppData\Local\Temp\b9b8-1d2b-33b1-2653
... done.
Loaded fraction:  100%
Sequences:        1024
Sequence lengths: 2..294
Total timesteps:  49630

Loading test set 'D:\CurrenntRepo\CurrenntVS\CURRENNT\ArabicDiacritizationExample\testingNCFile.nc' ...
using cache file: C:\Users\MOHAME~1\AppData\Local\Temp\b884-4131-ea6d-803f
... done.
Loaded fraction:  100%
Sequences:        1646
Sequence lengths: 5..329
Total timesteps:  49479

Creating the neural network... done.
Layers:
(0) input [size: 36]
(1) blstm [size: 450, bias: 1.0, weights: 472950]
(2) softmax [size: 14, bias: 1.0, weights: 6314]
(3) multiclass_classification [size: 14]
Total weights: 479264


Creating the optimizer... done.
Optimizer type: Steepest descent with momentum
Max training epochs:       200
Max epochs until new best: 20
Validation error every:    1
Test error every:          10
Learning rate:             1e-05
Momentum:                  0.9

Starting training...

 Epoch | Duration |  Training error  | Validation error |    Test error    | New best
   123 |    489.9 | 13.65%    26.777 | 15.76%    22.897 |                  |  no
   124 |    490.5 | 13.57%    26.616 | 15.58%    22.867 |                  |  no
   125 |    488.7 | 13.51%    26.483 | 15.66%    22.904 |                  |  no
   126 |    488.8 | 13.41%    26.295 | 15.85%    22.944 |                  |  no
   127 |    488.6 | 13.27%    26.126 | 15.52%    22.808 |                  |  no
   128 |    493.2 | 13.27%    26.042 | 15.92%    23.228 |                  |  no
   129 |    492.0 | 13.23%    25.918 | 15.20%    22.325 |                  |  yes
   130 |    569.7 | 13.07%    25.763 | 15.35%    22.489 | 19.44%    17.503 |  no
   131 |    497.8 | 13.04%    25.644 | 15.39%    22.464 |                  |  no
   132 |    495.6 | 12.92%    25.491 | 15.36%    22.531 |                  |  no
   133 |    531.5 | 12.89%    25.362 | 15.02%    22.231 |                  |  yes
   134 |    497.3 | 12.78%    25.256 | 15.09%    22.234 |                  |  no
   135 |    492.9 | 12.69%    25.081 | 15.03%    22.081 |                  |  yes
   136 |    497.5 | 12.64%    24.958 | 15.19%    22.332 |                  |  no
   137 |    497.1 | 12.55%    24.778 | 15.10%    22.207 |                  |  no
   138 |    499.8 | 12.44%    24.680 | 15.00%    22.168 |                  |  no
   139 |    500.3 | 12.41%    24.550 | 14.89%    22.038 |                  |  yes
   140 |    528.5 | 12.37%    24.442 | 14.88%    21.959 | 19.04%    17.309 |  yes
   141 |    496.7 | 12.25%    24.300 | 14.84%    21.969 |                  |  no
   142 |    494.5 | 12.23%    24.141 | 14.93%    21.972 |                  |  no
   143 |    494.6 | 12.17%    24.029 | 14.92%    21.941 |                  |  yes
   144 |    497.6 | 12.05%    23.911 | 14.60%    21.734 |                  |  yes
   145 |    497.8 | 12.03%    23.793 | 14.67%    21.733 |                  |  yes
   146 |    498.0 | 11.96%    23.685 | 14.65%    21.613 |                  |  yes
   147 |    496.6 | 11.87%    23.522 | 14.68%    21.694 |                  |  no
